frame_id,boundary_name,fValidLengthMeter,fDistanceMeter,fYawAngleRad,fCurvature,fCurvatureRate,lane_type,fCorrectedPitch,polynomial[0],polynomial[1],polynomial[2],polynomial[3],Unnamed: 13
1690794349500046,road_boundary_right,18.575512,-13.841339,0.015389,-0.00243,0.0,1,-0.041453,13.841339,-0.01539,0.001215,-0.0,
1690794349500046,road_boundary_left,29.799536,2.145978,-0.013396,0.000541,0.0,1,-0.041453,-2.145978,0.013397,-0.000271,-0.0,
1690794350000001,ego_right,21.57309,-1.889614,0.012665,-0.000446,0.0,1,-0.044111,1.889614,-0.012665,0.000223,-0.0,
1690794350000001,ego_left,20.649115,1.176242,0.005648,-7e-06,0.0,1,-0.044111,-1.176242,-0.005648,4e-06,-0.0,
1690794350000001,adjacent_right,24.312418,-4.738578,0.012263,-0.008513,0.0,1,-0.044111,4.738578,-0.012263,0.004257,-0.0,
1690794350000001,road_boundary_left,33.149731,2.119341,-0.009307,0.000589,0.0,1,-0.044111,-2.119341,0.009308,-0.000295,-0.0,
1690794350499762,ego_right,20.193228,-1.852215,0.014729,-0.000825,0.0,1,-0.041862,1.852215,-0.01473,0.000413,-0.0,
1690794350499762,ego_left,20.112007,1.185042,0.005701,-4.2e-05,0.0,1,-0.041862,-1.185042,-0.005701,2.1e-05,-0.0,
1690794350499762,adjacent_right,21.791624,-4.74579,0.021507,-0.01178,0.0,1,-0.041862,4.74579,-0.021511,0.00589,-0.0,
1690794350499762,road_boundary_left,31.52947,2.060976,-0.004335,0.000321,0.0,1,-0.041862,-2.060976,0.004335,-0.00016,-0.0,
1690794351000056,ego_right,19.521868,-1.832305,0.01486,-0.000701,0.0,1,-0.039094,1.832305,-0.014862,0.00035,-0.0,
1690794351000056,ego_left,17.840317,1.188923,0.004747,5e-06,0.0,1,-0.039094,-1.188923,-0.004747,-3e-06,-0.0,
1690794351000056,adjacent_right,12.757586,-4.859687,0.043662,-0.0058,0.0,1,-0.039094,4.859687,-0.043689,0.0029,-0.0,
1690794351000056,road_boundary_left,29.918707,2.065373,-0.005296,0.000366,0.0,1,-0.039094,-2.065373,0.005296,-0.000183,-0.0,
1690794351499984,ego_right,19.598015,-1.810593,0.012525,-0.00071,0.0,1,-0.035391,1.810593,-0.012526,0.000355,-0.0,
1690794351499984,ego_left,17.679728,1.196109,0.003786,9.1e-05,0.0,1,-0.035391,-1.196109,-0.003786,-4.5e-05,-0.0,
1690794351499984,adjacent_right,12.485791,-4.773823,0.037428,-0.006437,0.0,1,-0.035391,4.773823,-0.037446,0.003218,-0.0,
1690794351499984,road_boundary_left,33.706024,2.108767,-0.010668,0.000878,0.0,1,-0.035391,-2.108767,0.010668,-0.000439,-0.0,
1690794351999853,ego_right,20.435362,-1.893331,0.011473,-0.000449,0.0,1,-0.038579,1.893331,-0.011473,0.000225,-0.0,
1690794351999853,ego_left,18.991371,1.217351,0.004118,0.000383,0.0,1,-0.038579,-1.217351,-0.004118,-0.000191,-0.0,
1690794351999853,adjacent_right,12.635322,-4.914656,0.025206,-0.005658,0.0,1,-0.038579,4.914656,-0.025211,0.002829,-0.0,
1690794351999853,road_boundary_left,31.806028,2.231652,-0.018719,0.001371,0.0,1,-0.038579,-2.231652,0.018721,-0.000686,-0.0,
1690794352499903,ego_right,21.268272,-1.873947,0.014352,-0.000481,0.0,1,-0.038745,1.873947,-0.014353,0.000241,-0.0,
1690794352499903,ego_left,17.725367,1.215256,0.002367,0.000403,0.0,1,-0.038745,-1.215256,-0.002367,-0.000201,-0.0,
1690794352499903,adjacent_right,12.22904,-4.886075,0.023612,-0.005382,0.0,1,-0.038745,4.886075,-0.023617,0.002691,-0.0,
1690794352499903,road_boundary_left,29.385584,2.141551,-0.014566,0.001219,0.0,1,-0.038745,-2.141551,0.014567,-0.000609,-0.0,
1690794352999927,ego_right,22.633724,-1.854052,0.010392,-0.000736,0.0,1,-0.045668,1.854052,-0.010393,0.000368,-0.0,
1690794352999927,ego_left,18.238457,1.224956,0.00387,0.000552,0.0,1,-0.045668,-1.224956,-0.00387,-0.000276,-0.0,
1690794352999927,adjacent_right,9.908184,-4.864407,0.019212,-0.005489,0.0,1,-0.045668,4.864407,-0.019214,0.002744,-0.0,
1690794352999927,road_boundary_left,28.630217,2.137348,-0.010715,0.001266,0.0,1,-0.045668,-2.137348,0.010715,-0.000633,-0.0,
1690794353499977,ego_right,20.42065,-1.823789,0.011372,-0.000438,0.0,1,-0.040022,1.823789,-0.011372,0.000219,-0.0,
1690794353499977,ego_left,16.481632,1.227301,0.004549,0.000311,0.0,1,-0.040022,-1.227301,-0.004549,-0.000155,-0.0,
1690794353499977,adjacent_right,17.630989,-8.027179,0.019333,0.002721,0.0,1,-0.040022,8.027179,-0.019335,-0.001361,-0.0,
1690794353499977,road_boundary_left,27.698744,2.093592,-0.009207,0.001158,0.0,1,-0.040022,-2.093592,0.009207,-0.000579,-0.0,
1690794354000128,ego_right,22.071016,-1.855761,0.01072,-3e-06,0.0,1,-0.039476,1.855761,-0.010721,2e-06,-0.0,
1690794354000128,ego_left,18.158686,1.249669,0.006252,0.000137,0.0,1,-0.039476,-1.249669,-0.006252,-6.8e-05,-0.0,
1690794354000128,adjacent_right,16.69873,-8.180339,0.016161,0.003601,0.0,1,-0.039476,8.180339,-0.016162,-0.0018,-0.0,
1690794354000128,road_boundary_right,31.426821,-12.90041,-0.004413,-0.001819,0.0,1,-0.039476,12.90041,0.004413,0.000909,-0.0,
